color_temperature;u_1976;v_1976;u_1960;v_1960
1000;0.443;0.533;0.443;0.355333333
1200;0.402;0.538;0.402;0.358666667
1400;0.369;0.541;0.369;0.360666667
1600;0.342;0.542;0.342;0.361333333
1800;0.321;0.542;0.321;0.361333333
2000;0.303;0.54;0.303;0.36
2200;0.288;0.538;0.288;0.358666667
2400;0.276;0.535;0.276;0.356666667
2600;0.266;0.531;0.266;0.354
2800;0.257;0.528;0.257;0.352
3000;0.25;0.524;0.25;0.349333333
3200;0.243;0.52;0.243;0.346666667
3400;0.237;0.516;0.237;0.344
3600;0.233;0.512;0.233;0.341333333
3800;0.228;0.508;0.228;0.338666667
4000;0.225;0.504;0.225;0.336
4200;0.221;0.5;0.221;0.333333333
4400;0.218;0.497;0.218;0.331333333
4600;0.216;0.494;0.216;0.329333333
4800;0.213;0.49;0.213;0.326666667
5000;0.211;0.487;0.211;0.324666667
5200;0.209;0.484;0.209;0.322666667
5400;0.208;0.481;0.208;0.320666667
5600;0.206;0.479;0.206;0.319333333
5800;0.205;0.476;0.205;0.317333333
6000;0.203;0.473;0.203;0.315333333
6200;0.202;0.471;0.202;0.314
6400;0.201;0.469;0.201;0.312666667
6500;0.201;0.468;0.201;0.312
6600;0.2;0.466;0.2;0.310666667
6800;0.199;0.464;0.199;0.309333333
7000;0.198;0.462;0.198;0.308
7200;0.198;0.46;0.198;0.306666667
7400;0.197;0.459;0.197;0.306
7600;0.196;0.457;0.196;0.304666667
7800;0.196;0.455;0.196;0.303333333
8000;0.195;0.454;0.195;0.302666667
8500;0.194;0.45;0.194;0.3
9000;0.193;0.447;0.193;0.298
9500;0.192;0.444;0.192;0.296
10000;0.191;0.441;0.191;0.294
